structure_id,reward_final,source
gen_36,0.9996721148490906,topk
gen_38,0.7793378233909607,topk
gen_47,0.21855562925338745,topk
gen_48,0.17542928457260132,topk
gen_34,0.14165134727954865,topk
gen_31,0.1065814346075058,topk
gen_46,0.04490261152386665,topk
gen_1,0.02835790626704693,topk
gen_20,0.885495126247406,replay
gen_39,0.7581910490989685,replay
gen_41,0.995839536190033,replay
gen_18,0.6280627250671387,replay
gen_10,0.8856315016746521,replay
gen_10,0.8170759081840515,replay
gen_13,0.9786253571510315,replay
gen_35,0.8641894459724426,replay
gen_4,0.7334736585617065,replay
gen_55,0.8110082745552063,replay
