structure_id,cif_path,input_cif_path,raw_valid,formula,chemical_system,num_sites,raw_valid_reason,relaxed_cif_path,relaxation_success,total_energy,composition_valid,structure_valid,structure_comp_valid,reference_name,is_unique,is_novel,stable,predicted_dielectric_scalar,predicted_tensor,volume,prediction_success,target_dielectric_scalar,abs_error,reward_raw,reward_final,gate_reason,reward_final_diversity,diversity_penalty
gen_0,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_0.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_0.cif,True,La2 Sm4 Au4,Au-La-Sm,10,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_0_relaxed.cif,True,-48.04424285888672,True,True,True,TRI2024,True,True,True,17.595037336355603,"[[17.237896166054533, 4.2205306307807616e-05, -8.803630202726093e-05], [4.2205306307807616e-05, 17.773068295797348, 0.001459317090848361], [-8.803630202726093e-05, 0.001459317090848361, 17.774147547214938]]",279.79596457151206,True,12.0,5.5950373363556025,0.0199793637742043,0.019979363,,0.019979363,False
gen_21,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_21.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_21.cif,True,Ba3 In3 Pd2,Ba-In-Pd,8,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_21_relaxed.cif,True,-28.17487335205078,True,True,True,TRI2024,True,True,True,14.986457369176852,"[[17.946108984867617, -0.0016098965837264877, 0.00010597255383109684], [-0.0016098965837264877, 11.889879358138895, -0.02095320559408128], [0.00010597255383109684, -0.02095320559408128, 15.12338376452404]]",282.7811536051891,True,12.0,2.9864573691768523,0.327959238154829,0.32795924,,0.32795924,False
gen_3,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_3.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_3.cif,True,Na1 Sb2 Pt2 Pb1 O12,Na-O-Pb-Pt-Sb,18,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_3_relaxed.cif,True,-102.81167602539062,True,True,True,TRI2024,True,True,True,4.99067311775973,"[[5.635973591901026, -5.725340945516511e-05, -8.603015897945405e-05], [-5.725340945516511e-05, 5.6360009146310945, -0.0005173379669979084], [-8.603015897945405e-05, -0.0005173379669979084, 3.700044846747069]]",254.9353034839328,True,12.0,7.00932688224027,0.0021520531957745,0.0021520532,,0.0021520532,False
gen_33,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_33.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_33.cif,True,K1 Li1 Cd5 Hg4,Cd-Hg-K-Li,11,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_33_relaxed.cif,True,-9.6489896774292,True,True,True,TRI2024,True,True,True,10.109131988621412,"[[10.018531428375356, 0.01875613396961556, 0.004440534581199723], [0.01875613396961556, 9.943895075388472, -0.4507396559269326], [0.004440534581199723, -0.4507396559269326, 10.364969462100413]]",281.0510368552001,True,12.0,1.890868011378588,0.6395933280253243,0.6395933,,0.6395933,False
gen_4,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_4.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_4.cif,True,Zr5 Tl1 H4,H-Tl-Zr,10,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_4_relaxed.cif,True,-61.83145523071289,True,True,True,TRI2024,True,True,True,13.339738881076087,"[[13.343627060390348, -8.350635506508418e-05, 5.9924082041754566e-05], [-8.350635506508418e-05, 13.202069289264584, -0.02622554470825266], [5.9924082041754566e-05, -0.02622554470825266, 13.473520293573342]]",153.77636863567682,True,12.0,1.3397388810760873,0.7990254082304395,0.7990254,,0.7990254,False
gen_40,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_40.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_40.cif,True,Zr2 Pd5 Au9,Au-Pd-Zr,16,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_40_relaxed.cif,True,-77.77259826660156,True,True,True,TRI2024,True,True,True,31.02387100356009,"[[31.187126640544953, -0.5280803638000963, 0.5125509472342773], [-0.5280803638000963, 30.43789786343231, -1.1455747967985748], [0.5125509472342773, -1.1455747967985748, 31.446588506703]]",281.4115636204736,True,12.0,19.02387100356009,2.2552106086015715e-20,2.2552107e-20,,2.2552107e-20,False
gen_41,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_41.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_41.cif,True,Hg2,Hg,2,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_41_relaxed.cif,True,-0.6012163162231445,True,True,True,TRI2024,True,True,True,12.182628261887604,"[[12.30814797206946, 0.13462286819777275, -0.04200583492039646], [0.13462286819777275, 11.79119435062051, -0.01152895149075302], [-0.04200583492039646, -0.01152895149075302, 12.448542462972839]]",62.29280365884564,True,12.0,0.1826282618876042,0.9958395435241858,0.99583954,,0.99583954,False
gen_44,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_44.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_44.cif,True,Yb1 Sn5 Rh2,Rh-Sn-Yb,8,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_44_relaxed.cif,True,-40.17564392089844,True,True,True,TRI2024,True,True,True,21.09663563016452,"[[23.52535196091847, 0.00017672473445837043, 8.958234952573717e-05], [0.00017672473445837043, 16.337583083485754, -0.0007926863982078429], [8.958234952573717e-05, -0.0007926863982078429, 23.42697184608933]]",179.77533797254532,True,12.0,9.09663563016452,3.2198281593568266e-05,3.219828e-05,,3.219828e-05,False
gen_49,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_49.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_49.cif,True,La5 Sc3 In2,In-La-Sc,10,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_49_relaxed.cif,True,-50.67805099487305,True,True,True,TRI2024,True,True,True,13.85771710829039,"[[14.25427169606045, -2.139137108297315e-05, 2.765652889473518e-05], [-2.139137108297315e-05, 13.403358518819967, 0.5949964140510414], [2.765652889473518e-05, 0.5949964140510414, 13.915521109990753]]",310.1907864704394,True,12.0,1.8577171082903887,0.6496060954399724,0.6496061,,0.6496061,False
gen_55,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_55.cif,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/input_cifs/gen_55.cif,True,Rb2 Na1 Cd7,Cd-Na-Rb,10,,provenance://mattergen/outputs/dielectric_rl/direct_rl_target12_online/matinvent_style_target12_tri_fixed_scaler_gpu/loop_0012/postprocess/relaxed/relaxed_cifs/gen_55_relaxed.cif,True,-10.08436679840088,True,True,True,TRI2024,True,True,True,8.294681906603783,"[[8.196986865947633, 6.26614748098008e-05, -0.0019051790733606209], [6.26614748098008e-05, 8.197282082394276, -0.0007660616161397954], [-0.0019051790733606209, -0.0007660616161397954, 8.48977677146944]]",327.73915600248864,True,12.0,3.705318093396217,0.1797527880744068,0.17975278,,0.17975278,False
